rr,il,ol,request_throughput,mean_ttft_ms,mean_tpot_ms,mean_e2e_latency_ms,output_throughput,completed,experiment,source_file
8,1024,512,6.15083798196872,94.22311367001384,26.00660395591654,6767.463215524331,1610.3816462491404,200,Non-PD TP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_tp2_sweep_20260611/sglang-oai_nonpd_tp2_rr8_il1024_ol512.jsonl
8,1024,512,6.6354042936821855,106.1088248854503,16.50445007645861,4440.413452847861,1737.2483751504014,200,PD-separated,/mnt/nfs02/users/tjiang/Gitrepo/sglang/real_pd_sweep_20260610_flush_cache/summary_metrics_flush_cache.csv
12,1024,512,8.811354340167338,70.70133762899786,18.935532569705877,4981.076449695975,2306.9447365709116,200,Non-PD DP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_dp2_sweep_20260611/sglang-oai_nonpd_dp2_rr12_il1024_ol512.jsonl
12,1024,512,7.843495145734797,111.29537108819932,31.90294955768313,8070.427205641755,2053.544681580556,200,Non-PD TP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_tp2_sweep_20260611/sglang-oai_nonpd_tp2_rr12_il1024_ol512.jsonl
12,1024,512,8.588700086260854,118.96674252580851,18.090918624908657,4868.711865697987,2248.650513084385,200,PD-separated,/mnt/nfs02/users/tjiang/Gitrepo/sglang/real_pd_sweep_20260610_flush_cache/summary_metrics_flush_cache.csv
1,2048,512,1.006601943693843,81.58696753438562,11.973827752410264,3210.615120041184,263.5434878882035,200,Non-PD DP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_dp2_sweep_20260611/sglang-oai_nonpd_dp2_rr1_il2048_ol512.jsonl
1,2048,512,1.0017913834141066,114.57648311275989,19.192476392164885,5119.196303812787,262.2840110485643,200,Non-PD TP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_tp2_sweep_20260611/sglang-oai_nonpd_tp2_rr1_il2048_ol512.jsonl
1,2048,512,1.0064774844472044,116.75857765134424,12.198437407551372,3295.8737840224057,263.5109025905448,200,PD-separated,/mnt/nfs02/users/tjiang/Gitrepo/sglang/real_pd_sweep_20260610_flush_cache/summary_metrics_flush_cache.csv
2,2048,512,1.9912417181775446,86.10076828859746,12.801015861080023,3426.2233838858083,521.3369504446538,200,Non-PD DP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_dp2_sweep_20260611/sglang-oai_nonpd_dp2_rr2_il2048_ol512.jsonl
2,2048,512,1.9454624748317428,121.86937591060996,20.873459036161513,5559.0988037223,509.35125784807275,200,Non-PD TP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_tp2_sweep_20260611/sglang-oai_nonpd_tp2_rr2_il2048_ol512.jsonl
2,2048,512,1.9900573412900728,125.35735161509363,12.902135568011008,3485.27715603821,521.0268628098604,200,PD-separated,/mnt/nfs02/users/tjiang/Gitrepo/sglang/real_pd_sweep_20260610_flush_cache/summary_metrics_flush_cache.csv
4,2048,512,3.786363648455408,89.49374608229846,14.427633633795196,3855.8403447223827,991.3267986203526,200,Non-PD DP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_dp2_sweep_20260611/sglang-oai_nonpd_dp2_rr4_il2048_ol512.jsonl
4,2048,512,3.604751380789183,131.83618630748242,25.304533092268382,6712.494195513427,943.7779827613199,200,Non-PD TP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_tp2_sweep_20260611/sglang-oai_nonpd_tp2_rr4_il2048_ol512.jsonl
4,2048,512,3.775887087394457,140.34071271307766,14.893978013361815,4045.3124971641214,988.5838777861796,200,PD-separated,/mnt/nfs02/users/tjiang/Gitrepo/sglang/real_pd_sweep_20260610_flush_cache/summary_metrics_flush_cache.csv
8,2048,512,6.6132687830977925,96.27144990023226,19.28726688656536,5131.960606039502,1731.4529664467486,200,Non-PD DP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_dp2_sweep_20260611/sglang-oai_nonpd_dp2_rr8_il2048_ol512.jsonl
8,2048,512,5.9356691253067595,195.79371454194188,39.26241687843361,9936.658399612643,1554.0472120421894,200,Non-PD TP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_tp2_sweep_20260611/sglang-oai_nonpd_tp2_rr8_il2048_ol512.jsonl
8,2048,512,6.453026129083835,199.50270113069564,18.6372383325428,5112.718094959855,1689.499035986084,200,PD-separated,/mnt/nfs02/users/tjiang/Gitrepo/sglang/real_pd_sweep_20260610_flush_cache/summary_metrics_flush_cache.csv
12,2048,512,8.439299743767382,105.72615324519575,24.240123039029182,6342.22109392751,2209.535262414457,200,Non-PD DP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_dp2_sweep_20260611/sglang-oai_nonpd_dp2_rr12_il2048_ol512.jsonl
12,2048,512,7.2650558996255565,287.38591882865876,61.7769605137302,12205.10836517904,1902.100610360465,200,Non-PD TP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_tp2_sweep_20260611/sglang-oai_nonpd_tp2_rr12_il2048_ol512.jsonl
12,2048,512,8.150524349102323,250.06902955472472,21.24603250772629,5819.430904863402,2133.9295324602244,200,PD-separated,/mnt/nfs02/users/tjiang/Gitrepo/sglang/real_pd_sweep_20260610_flush_cache/summary_metrics_flush_cache.csv
